TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > Power factor (Q1);IOITSecure447 > Power factor (Q2);IOITSecure447 > Power factor (Q3);IOITSecure447 > Avg power factor;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power;IOITSecure447 > R-Ph Voltage THD;IOITSecure447 > Y-Ph Voltage THD;IOITSecure447 > B-Ph Voltage THD;IOITSecure447 > R-Ph Current THD;IOITSecure447 > Y-Ph Current THD;IOITSecure447 > B-Ph Current THD
23/12/2023 00:00:00;236.83;241.17;241.85;239.98;414.40;416.89;415.69;32.72;26.60;20.12;19.44;27.51;22.34;20.21;17.61;14.33;0.90;0.84;0.84;1.00;0.91;6.41;5.34;4.78;16.51;4.14;3.45;0.21;7.84;7.75;6.41;4.86;18.51;3.69;4.37;4.25;50.81;42.86;63.67
23/12/2023 00:00:10;236.79;241.19;241.79;239.90;414.27;416.97;415.57;32.55;26.62;20.19;19.30;27.52;22.39;20.15;17.64;14.36;0.96;0.84;0.84;1.00;0.91;6.42;5.35;4.78;16.55;4.17;3.47;0.24;7.89;7.75;6.45;4.88;18.58;3.67;4.44;4.20;50.88;44.10;64.66
23/12/2023 00:00:20;237.02;241.48;242.07;240.19;414.76;416.97;415.57;32.55;26.62;20.19;19.30;27.52;22.39;20.15;17.64;14.36;0.96;0.84;0.84;1.00;0.91;6.42;5.35;4.78;16.55;4.17;3.47;0.24;7.89;7.75;6.45;4.88;18.58;3.67;4.44;4.20;50.88;44.10;64.66
23/12/2023 00:00:30;237.02;241.48;242.07;240.19;414.76;417.31;415.97;32.63;26.57;20.16;19.33;27.50;22.40;20.22;17.51;14.37;0.98;0.84;0.84;1.00;0.90;6.46;5.35;4.81;16.58;4.17;3.47;0.23;7.88;7.75;6.42;4.88;18.54;3.84;4.47;4.26;49.45;42.81;104.50
23/12/2023 00:00:40;237.34;241.60;242.46;240.51;415.28;417.81;416.61;30.88;26.52;20.04;19.33;27.50;22.40;20.22;17.51;14.37;0.98;0.84;0.84;1.00;0.90;6.46;5.35;4.81;16.58;4.17;3.47;0.23;7.88;7.75;6.42;4.88;18.54;3.84;4.47;4.26;49.45;42.81;104.50
23/12/2023 00:00:50;237.34;241.60;242.46;240.51;415.28;417.81;416.61;30.88;26.52;20.04;17.78;26.32;22.37;19.98;16.08;14.34;1.03;0.85;0.84;1.00;0.91;6.18;5.38;4.79;16.35;3.84;3.52;0.24;7.56;7.31;6.55;4.87;18.29;3.70;4.46;4.27;52.19;41.88;64.35
23/12/2023 00:01:00;237.71;241.47;242.52;240.56;415.39;417.82;416.75;30.90;27.58;19.98;17.09;26.24;23.51;20.15;16.02;14.34;1.03;0.85;0.84;1.00;0.91;6.18;5.38;4.79;16.35;3.84;3.52;0.24;7.56;7.31;6.55;4.87;18.29;3.70;4.46;4.27;52.19;41.88;64.35
23/12/2023 00:01:10;237.71;241.47;242.52;240.56;415.39;417.82;416.75;30.90;27.58;19.98;17.09;26.24;23.51;20.15;16.02;14.59;1.03;0.85;0.85;1.00;0.91;6.16;5.63;4.85;16.67;3.83;3.55;0.23;7.63;7.36;6.78;4.88;18.53;3.69;4.41;4.21;53.60;38.08;65.36
23/12/2023 00:01:20;238.00;241.37;242.63;240.67;415.41;417.98;416.90;30.88;28.74;20.05;15.31;26.31;25.21;20.02;16.23;13.97;0.99;0.85;0.88;1.00;0.91;6.16;5.63;4.85;16.67;3.83;3.55;0.23;7.63;7.36;6.78;4.88;18.53;3.69;4.41;4.21;53.60;38.08;65.36
23/12/2023 00:01:30;238.00;241.37;242.63;240.67;415.41;417.98;416.90;30.88;28.74;20.05;15.31;26.31;25.21;20.02;16.23;13.97;0.99;0.85;0.88;1.00;0.92;6.18;6.02;4.81;17.04;3.84;3.37;0.24;7.43;7.33;6.97;4.84;18.78;3.71;4.31;4.23;53.91;38.99;64.49
23/12/2023 00:01:40;238.20;241.36;242.78;240.80;415.74;418.23;417.31;30.80;29.13;20.14;14.98;26.28;25.62;20.10;16.11;13.94;1.00;0.85;0.88;1.00;0.92;6.17;6.15;4.81;17.04;3.84;3.37;0.24;7.43;7.33;6.97;4.84;18.78;3.71;4.31;4.23;53.91;38.99;64.49
23/12/2023 00:01:50;238.20;241.36;242.78;240.80;415.74;418.23;417.31;30.80;29.13;20.14;14.98;26.28;25.62;20.10;16.11;13.94;1.00;0.85;0.88;1.00;0.92;6.17;6.15;4.82;17.08;3.85;3.37;0.25;7.47;7.36;7.04;4.85;18.89;3.80;4.42;4.34;53.22;38.46;18.03
